,meas,tmins,tunix
4,33.83,0.0,1517324288.0
5,33.83,0.004166666666666667,1517324288.25
6,33.83,0.008333333333333333,1517324288.5
7,33.83,0.0125,1517324288.75
8,33.83,0.016666666666666666,1517324289.0
9,33.83,0.020833333333333332,1517324289.25
10,33.83,0.025,1517324289.5
11,33.83,0.029166666666666667,1517324289.75
12,33.81,0.03333333333333333,1517324290.0
13,33.81,0.0375,1517324290.25
14,33.81,0.041666666666666664,1517324290.5
15,33.81,0.04583333333333333,1517324290.75
16,33.81,0.05,1517324291.0
17,33.81,0.05416666666666667,1517324291.25
18,33.81,0.058333333333333334,1517324291.5
19,33.81,0.0625,1517324291.75
20,33.81,0.06666666666666667,1517324292.0
21,33.81,0.07083333333333333,1517324292.25
22,33.81,0.075,1517324292.5
23,33.81,0.07916666666666666,1517324292.75
24,33.81,0.08333333333333333,1517324293.0
25,33.81,0.0875,1517324293.25
26,33.81,0.09166666666666666,1517324293.5
27,33.81,0.09583333333333334,1517324293.75
28,33.77,0.1,1517324294.0
29,33.77,0.10416666666666667,1517324294.25
30,33.77,0.10833333333333334,1517324294.5
31,33.77,0.1125,1517324294.75
32,33.81,0.11666666666666667,1517324295.0
33,33.81,0.12083333333333333,1517324295.25
34,33.81,0.125,1517324295.5
35,33.81,0.12916666666666668,1517324295.75
36,33.79,0.13333333333333333,1517324296.0
37,33.79,0.1375,1517324296.25
38,33.79,0.14166666666666666,1517324296.5
39,33.79,0.14583333333333334,1517324296.75
40,33.83,0.15,1517324297.0
41,33.83,0.15416666666666667,1517324297.25
42,33.83,0.15833333333333333,1517324297.5
43,33.83,0.1625,1517324297.75
44,33.83,0.16666666666666666,1517324298.0
45,33.83,0.17083333333333334,1517324298.25
46,33.83,0.175,1517324298.5
47,33.83,0.17916666666666667,1517324298.75
48,33.83,0.18333333333333332,1517324299.0
49,33.83,0.1875,1517324299.25
50,33.83,0.19166666666666668,1517324299.5
51,33.83,0.19583333333333333,1517324299.75
52,33.84,0.2,1517324300.0
53,33.84,0.20416666666666666,1517324300.25
54,33.84,0.20833333333333334,1517324300.5
55,33.84,0.2125,1517324300.75
56,33.87,0.21666666666666667,1517324301.0
57,33.87,0.22083333333333333,1517324301.25
58,33.87,0.225,1517324301.5
59,33.87,0.22916666666666666,1517324301.75
