,meas,tmins,tunix
0,83.0,0.0,1538657806.0
1,71.0,0.016666666666666666,1538657807.0
2,70.67,0.03333333333333333,1538657808.0
3,77.25,0.05,1538657809.0
4,81.2,0.06666666666666667,1538657810.0
5,103.17,0.08333333333333333,1538657811.0
6,119.14,0.1,1538657812.0
7,130.38,0.11666666666666667,1538657813.0
8,139.22,0.13333333333333333,1538657814.0
9,146.7,0.15,1538657815.0
10,152.73,0.16666666666666666,1538657816.0
11,157.75,0.18333333333333332,1538657817.0
12,161.69,0.2,1538657818.0
13,165.07,0.21666666666666667,1538657819.0
14,167.87,0.23333333333333334,1538657820.0
15,169.25,0.25,1538657821.0
16,170.41,0.26666666666666666,1538657822.0
17,169.56,0.2833333333333333,1538657823.0
18,168.79,0.3,1538657824.0
19,168.1,0.31666666666666665,1538657825.0
20,167.48,0.3333333333333333,1538657826.0
21,166.91,0.35,1538657827.0
22,166.22,0.36666666666666664,1538657828.0
23,164.83,0.38333333333333336,1538657829.0
24,163.32,0.4,1538657830.0
25,161.77,0.4166666666666667,1538657831.0
26,160.22,0.43333333333333335,1538657832.0
27,158.18,0.45,1538657833.0
28,156.28,0.4666666666666667,1538657834.0
29,154.5,0.48333333333333334,1538657835.0
30,152.81,0.5,1538657836.0
31,150.97,0.5166666666666667,1538657837.0
32,149.27,0.5333333333333333,1538657838.0
33,147.71,0.55,1538657839.0
34,146.23,0.5666666666666667,1538657840.0
35,144.83,0.5833333333333334,1538657841.0
36,143.51,0.6,1538657842.0
37,142.29,0.6166666666666667,1538657843.0
38,141.13,0.6333333333333333,1538657844.0
39,140.0,0.65,1538657845.0
40,138.85,0.6666666666666666,1538657846.0
41,137.74,0.6833333333333333,1538657847.0
42,136.63,0.7,1538657848.0
43,135.45,0.7166666666666667,1538657849.0
44,134.4,0.7333333333333333,1538657850.0
45,133.41,0.75,1538657851.0
46,132.47,0.7666666666666667,1538657852.0
47,131.58,0.7833333333333333,1538657853.0
48,130.78,0.8,1538657854.0
49,130.06,0.8166666666666667,1538657855.0
50,129.39,0.8333333333333334,1538657856.0
51,128.75,0.85,1538657857.0
52,128.08,0.8666666666666667,1538657858.0
